number Prob_Chromosome Prob_Plasmid Prediction Contig_name coverage length Component
18 0.01 0.99 Plasmid S18_LN:i:54155_dp:f:1.0514645940835776 1.05 54155 1
31 0.15 0.85 Plasmid S31_LN:i:21202_dp:f:1.194722937126809 1.19 21202 1
33 0.4 0.6 Plasmid S33_LN:i:18202_dp:f:1.1628830074648842 1.16 18202 1
46 0.03 0.97 Plasmid S46_LN:i:8487_dp:f:1.2210058174026983 1.22 8487 1
47 0.04 0.96 Plasmid S47_LN:i:8177_dp:f:0.9996798934685464 1 8177 1
50 0.02 0.98 Plasmid S50_LN:i:4993_dp:f:1.1698997426343487 1.17 4993 1
52 0.03 0.97 Plasmid S52_LN:i:4014_dp:f:0.9783821389091624 0.98 4014 1
54 0.08 0.92 Plasmid S54_LN:i:3077_dp:f:1.1553028848000615 1.16 3077 1
57 0.03 0.97 Plasmid S57_LN:i:2626_dp:f:0.9929149754371588 0.99 2626 1
60 0 1 Plasmid S60_LN:i:1589_dp:f:1.0577429501871556 1.06 1589 1
